feature_set,scenario,training_seed,classifier,metric,n_simulation_seeds,mean,sd,ci95_low,ci95_high
4,DNSAmplification,307759,mlp,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,mlp,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,mlp,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,mlp,roc_auc,10,1.0,6.409875621278546e-17,1.0,1.0
4,DNSAmplification,307759,mlp,pr_auc_benign,10,1.0,9.064933036736789e-17,0.9999999999999999,1.0
4,DNSAmplification,307759,mlp,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,rf,pr_auc_ddos,10,1.0,8.275113844157577e-17,0.9999999999999999,1.0
4,DNSAmplification,307759,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,307759,xgboost,recall,10,1.0,0.0,1.0,1.0
