feature_set,model,n_seeds,fpr,mean_tpr,sd_tpr
8,xgboost,10,0.34400000000000003,0.9999359006528522,3.196284709251272e-05
8,xgboost,10,0.34500000000000003,0.9999367764944589,3.120086219543055e-05
8,xgboost,10,0.34600000000000003,0.9999383045099787,3.009734821401955e-05
8,xgboost,10,0.34700000000000003,0.9999398325254985,2.930803634565373e-05
8,xgboost,10,0.34800000000000003,0.9999413605410183,2.885871924574773e-05
8,xgboost,10,0.34900000000000003,0.9999428885565381,2.8765333575610375e-05
8,xgboost,10,0.35000000000000003,0.9999444165720579,2.9031314335929163e-05
8,xgboost,10,0.35100000000000003,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.352,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.353,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.354,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.355,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.356,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.357,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.358,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.359,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.36,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.361,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.362,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.363,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.364,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.365,0.9999449586238667,2.9210573988599702e-05
8,xgboost,10,0.366,0.9999456035260591,2.717131145040605e-05
8,xgboost,10,0.367,0.9999466880456772,2.3741960521172957e-05
8,xgboost,10,0.368,0.9999477725652952,2.031267754091911e-05
8,xgboost,10,0.369,0.9999488570849133,1.68835039139112e-05
8,xgboost,10,0.37,0.9999499416045312,1.345452325356169e-05
8,xgboost,10,0.371,0.9999510261241493,1.0025933551942293e-05
8,xgboost,10,0.372,0.9999521106437674,6.598344279794202e-06
8,xgboost,10,0.373,0.9999531951633853,3.1749971527007096e-06
8,xgboost,10,0.374,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.375,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.376,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.377,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.378,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.379,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.38,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.381,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.382,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.383,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.384,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.385,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.386,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.387,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.388,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.389,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.39,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.391,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.392,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.393,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.394,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.395,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.396,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.397,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.398,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.399,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.4,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.401,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.402,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.403,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.404,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.405,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.406,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.40700000000000003,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.40800000000000003,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.40900000000000003,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.41000000000000003,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.41100000000000003,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.41200000000000003,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.41300000000000003,0.9999541701198137,2.8652440471808106e-07
8,xgboost,10,0.41400000000000003,0.9999541701198137,2.8652440471808106e-07
